title;text_cleaning;title_preprocessing;target_class
Perfect Balance: Create Time and Space for All Parts of Your Life;perfect balance create time space part life;['perfect', 'balance', 'create', 'time', 'space', 'part', 'life'];social-humanaria
Sixth World Almanac (Shadowrun (Catalyst Hardcover));sixth world almanac shadowrun catalyst hardcover;['sixth', 'world', 'almanac', 'shadowrun', 'catalyst', 'hardcover'];general
The New Woodburner's Handbook (Down-to-Earth Energy Book);new woodburners handbook downtoearth energy book;['new', 'woodburners', 'handbook', 'downtoearth', 'energy', 'book'];sains-tech
Foundations of Maternal-Newborn and Women's Health Nursing, 5e (Foundations of Maternal- Newborn Nursing);foundation maternalnewborn woman health nursing e foundation maternal newborn nursing;['foundation', 'maternalnewborn', 'woman', 'health', 'nursing', 'e', 'foundation', 'maternal', 'newborn', 'nursing'];sains-tech
In Good Faith: The History of the 4th SS-Polizei-Panzer-Grenadier-Division, Vol. 1: 1939-1943;good faith history th sspolizeipanzergrenadierdivision vol;['good', 'faith', 'history', 'th', 'sspolizeipanzergrenadierdivision', 'vol'];social-humanaria
GO! with Microsoft Word 2013 Brief;go microsoft word brief;['go', 'microsoft', 'word', 'brief'];general
Human Health and Forests: A Global Overview of Issues, Practice and Policy (People and Plants International Conservation);human health forest global overview issue practice policy people plant international conservation;['human', 'health', 'forest', 'global', 'overview', 'issue', 'practice', 'policy', 'people', 'plant', 'international', 'conservation'];sains-tech
Illustrated Adventure Stories;illustrated adventure story;['illustrated', 'adventure', 'story'];general
The Atlas of Endangered Species (Atlas Of... (University of California Press));atlas endangered specie atlas university california press;['atlas', 'endangered', 'specie', 'atlas', 'university', 'california', 'press'];general
The Lost World of Scripture: Ancient Literary Culture and Biblical Authority;lost world scripture ancient literary culture biblical authority;['lost', 'world', 'scripture', 'ancient', 'literary', 'culture', 'biblical', 'authority'];social-humanaria
Jamaica Travel Reference Map 1:250 000;jamaica travel reference map;['jamaica', 'travel', 'reference', 'map'];general
Coping with Concussion and Mild Traumatic Brain Injury: A Guide to Living with the Challenges Associated with Post Concussion Syndrome and Brain Trauma;coping concussion mild traumatic brain injury guide living challenge associated post concussion syndrome brain trauma;['coping', 'concussion', 'mild', 'traumatic', 'brain', 'injury', 'guide', 'living', 'challenge', 'associated', 'post', 'concussion', 'syndrome', 'brain', 'trauma'];sains-tech
Looney Bin Incorporated;looney bin incorporated;['looney', 'bin', 'incorporated'];general
Fifty Bicycles That Changed The World (Design Museum Fifty);fifty bicycle changed world design museum fifty;['fifty', 'bicycle', 'changed', 'world', 'design', 'museum', 'fifty'];social-humanaria
Encyclopedia of Pasta (California Studies in Food and Culture);encyclopedia pasta california study food culture;['encyclopedia', 'pasta', 'california', 'study', 'food', 'culture'];social-humanaria
Soul Comfort for Cat Lovers: Coping Wisdom for Heart and Soul After the Loss of a Beloved Feline;soul comfort cat lover coping wisdom heart soul loss beloved feline;['soul', 'comfort', 'cat', 'lover', 'coping', 'wisdom', 'heart', 'soul', 'loss', 'beloved', 'feline'];social-humanaria
It's Harvest Time!: A Book with Foldout Pages;harvest time book foldout page;['harvest', 'time', 'book', 'foldout', 'page'];general
Oracle Essentials: Oracle Database 11g;oracle essential oracle database g;['oracle', 'essential', 'oracle', 'database', 'g'];sains-tech
Minecraft Combat Handbook: How to Destroy Your Enemies and Win Every Battle in Minecraft (An Unofficial Minecraft Combat Handbook) (minecraft combat handbook, minecraft pocket edition, minecraft);minecraft combat handbook destroy enemy win every battle minecraft unofficial minecraft combat handbook minecraft combat handbook minecraft pocket edition minecraft;['minecraft', 'combat', 'handbook', 'destroy', 'enemy', 'win', 'every', 'battle', 'minecraft', 'unofficial', 'minecraft', 'combat', 'handbook', 'minecraft', 'combat', 'handbook', 'minecraft', 'pocket', 'edition', 'minecraft'];general
Numeralogical Lottery;numeralogical lottery;['numeralogical', 'lottery'];general
On the Fringe: Stories;fringe story;['fringe', 'story'];general
The Magical Power of the Saints: Evocation and Candle Rituals;magical power saint evocation candle ritual;['magical', 'power', 'saint', 'evocation', 'candle', 'ritual'];general
Cruising Guides: Cruising Guide to Western Florida: Seventh Edition (Cruising Guide Series);cruising guide cruising guide western florida seventh edition cruising guide series;['cruising', 'guide', 'cruising', 'guide', 'western', 'florida', 'seventh', 'edition', 'cruising', 'guide', 'series'];general
Best Easy Day Hikes Rocky Mountain National Park (Best Easy Day Hikes Series);best easy day hike rocky mountain national park best easy day hike series;['best', 'easy', 'day', 'hike', 'rocky', 'mountain', 'national', 'park', 'best', 'easy', 'day', 'hike', 'series'];general
No Limits: Viewers Discretion Advised. (Volume 1);limit viewer discretion advised volume;['limit', 'viewer', 'discretion', 'advised', 'volume'];general
R for SAS and SPSS Users (Statistics and Computing);r sa spss user statistic computing;['r', 'sa', 'spss', 'user', 'statistic', 'computing'];sains-tech
Address Book (Beautiful and Simple Address Books-Jumbo Size Floral Paisley) (Volume 1);address book beautiful simple address booksjumbo size floral paisley volume;['address', 'book', 'beautiful', 'simple', 'address', 'booksjumbo', 'size', 'floral', 'paisley', 'volume'];general
The Complete Julian of Norwich (Paraclete Giants);complete julian norwich paraclete giant;['complete', 'julian', 'norwich', 'paraclete', 'giant'];general
Ford Shop Manual Series 5000, 5600, 5610, 6600, 6610, 6700, 6710, 7000, 7600, 7610, 7700, 7710 (Fo-42) (I & T Shop Service);ford shop manual series fo shop service;['ford', 'shop', 'manual', 'series', 'fo', 'shop', 'service'];general
Living the 80/20 Way, New Edition: Work Less, Worry Less, Succeed More, Enjoy More;living way new edition work le worry le succeed enjoy;['living', 'way', 'new', 'edition', 'work', 'le', 'worry', 'le', 'succeed', 'enjoy'];general
Open Road's Best of Honduras, 1st Edition (Open Road's Honduras);open road best honduras st edition open road honduras;['open', 'road', 'best', 'honduras', 'st', 'edition', 'open', 'road', 'honduras'];general
Katherine and Isabel: Mother's Light, Daughter's Journey;katherine isabel mother light daughter journey;['katherine', 'isabel', 'mother', 'light', 'daughter', 'journey'];general
Chew, Vol. 5: Major League Chew;chew vol major league chew;['chew', 'vol', 'major', 'league', 'chew'];general
The Shell Collector: Stories;shell collector story;['shell', 'collector', 'story'];general
Stone Soup;stone soup;['stone', 'soup'];general
African Philosophy : The Pharaonic Period : 2780 - 330 BC -;african philosophy pharaonic period bc;['african', 'philosophy', 'pharaonic', 'period', 'bc'];social-humanaria
A History of Psychology: From Antiquity to Modernity;history psychology antiquity modernity;['history', 'psychology', 'antiquity', 'modernity'];sains-tech
Stink Moody 7 Books- The World's Worst Super-stinky Sneakers, Solar System Superhero, the Incredible Shrinking Kid, Midnight Zombie Walk, the Incredible Super-galactic Jawbreaker, the Ultimate Thumb-wrestling Smackdown, the Great Guinea Pig Express,;stink moody book world worst superstinky sneaker solar system superhero incredible shrinking kid midnight zombie walk incredible supergalactic jawbreaker ultimate thumbwrestling smackdown great guinea pig express;['stink', 'moody', 'book', 'world', 'worst', 'superstinky', 'sneaker', 'solar', 'system', 'superhero', 'incredible', 'shrinking', 'kid', 'midnight', 'zombie', 'walk', 'incredible', 'supergalactic', 'jawbreaker', 'ultimate', 'thumbwrestling', 'smackdown', 'great', 'guinea', 'pig', 'express'];general
Hotel, Restaurant, and Travel Law, 7th Edition;hotel restaurant travel law th edition;['hotel', 'restaurant', 'travel', 'law', 'th', 'edition'];social-humanaria
Agent to the Stars;agent star;['agent', 'star'];general
The Everything Bridesmaid Book: From bachelorette party planning to wedding ceremony etiquette - all you need for an unforgettable wedding;everything bridesmaid book bachelorette party planning wedding ceremony etiquette need unforgettable wedding;['everything', 'bridesmaid', 'book', 'bachelorette', 'party', 'planning', 'wedding', 'ceremony', 'etiquette', 'need', 'unforgettable', 'wedding'];social-humanaria
Egypt: Splendors of an Ancient Civilization;egypt splendor ancient civilization;['egypt', 'splendor', 'ancient', 'civilization'];general
Columbia English Grammar for PSAT/NMSQT;columbia english grammar psatnmsqt;['columbia', 'english', 'grammar', 'psatnmsqt'];general
Sail: A Photographic Celebration of Sail Power;sail photographic celebration sail power;['sail', 'photographic', 'celebration', 'sail', 'power'];social-humanaria
Classics of Buddhism and Zen, Volume 1: The Collected Translations of Thomas Cleary;classic buddhism zen volume collected translation thomas cleary;['classic', 'buddhism', 'zen', 'volume', 'collected', 'translation', 'thomas', 'cleary'];social-humanaria
The M1 Garand Rifle;garand rifle;['garand', 'rifle'];general
Lutherans in America: A New History;lutheran america new history;['lutheran', 'america', 'new', 'history'];social-humanaria
Mary Engelbreit 2015-2016 16-Month Desk Pad Calendar;mary engelbreit month desk pad calendar;['mary', 'engelbreit', 'month', 'desk', 'pad', 'calendar'];general
Brainchildren: Essays on Designing Minds;brainchild essay designing mind;['brainchild', 'essay', 'designing', 'mind'];social-humanaria
Basic Vision: An Introduction to Visual Perception;basic vision introduction visual perception;['basic', 'vision', 'introduction', 'visual', 'perception'];general
A Clockwork Orange (Norton Critical Editions);clockwork orange norton critical edition;['clockwork', 'orange', 'norton', 'critical', 'edition'];general
Essentials for Today's Nursing Assistant, Special Edition;essential today nursing assistant special edition;['essential', 'today', 'nursing', 'assistant', 'special', 'edition'];sains-tech
Wallpaper* City Guide London 2015;wallpaper city guide london;['wallpaper', 'city', 'guide', 'london'];general
The Juice Lady's Guide to Juicing for Health (Avery Health Guides);juice lady guide juicing health avery health guide;['juice', 'lady', 'guide', 'juicing', 'health', 'avery', 'health', 'guide'];sains-tech
The Book of Common Prayer and The Holy Bible New Revised Standard Version: Red Bonded Leather;book common prayer holy bible new revised standard version red bonded leather;['book', 'common', 'prayer', 'holy', 'bible', 'new', 'revised', 'standard', 'version', 'red', 'bonded', 'leather'];general
Rereading America: Cultural Contexts for Critical Thinking and Writing, 9th Edition;rereading america cultural context critical thinking writing th edition;['rereading', 'america', 'cultural', 'context', 'critical', 'thinking', 'writing', 'th', 'edition'];social-humanaria
A Handbook for Attorneys on Court-ordered Retirement, Health Benefits and Life Insurance Under the Civil Service Retirement Benefits, Federal ... Employees Group Life Insurance Programs;handbook attorney courtordered retirement health benefit life insurance civil service retirement benefit federal employee group life insurance program;['handbook', 'attorney', 'courtordered', 'retirement', 'health', 'benefit', 'life', 'insurance', 'civil', 'service', 'retirement', 'benefit', 'federal', 'employee', 'group', 'life', 'insurance', 'program'];sains-tech
Thomas' Magnetic Playbook (Thomas & Friends);thomas magnetic playbook thomas friend;['thomas', 'magnetic', 'playbook', 'thomas', 'friend'];general
Gamelife: A Memoir;gamelife memoir;['gamelife', 'memoir'];general
Lions Triumphant: The Captain's Story;lion triumphant captain story;['lion', 'triumphant', 'captain', 'story'];general
Fire on the Mountain: The True Story of the South Canyon Fire;fire mountain true story south canyon fire;['fire', 'mountain', 'true', 'story', 'south', 'canyon', 'fire'];general
Journey from the Land of No: A Girlhood Caught in Revolutionary Iran;journey land girlhood caught revolutionary iran;['journey', 'land', 'girlhood', 'caught', 'revolutionary', 'iran'];general
Eastern Backyard Birds: A Folding Pocket Guide to Familiar Urban Species (Pocket Naturalist Guide Series);eastern backyard bird folding pocket guide familiar urban specie pocket naturalist guide series;['eastern', 'backyard', 'bird', 'folding', 'pocket', 'guide', 'familiar', 'urban', 'specie', 'pocket', 'naturalist', 'guide', 'series'];general
The Clerics of Islam: Religious Authority and Political Power in Saudi Arabia;cleric islam religious authority political power saudi arabia;['cleric', 'islam', 'religious', 'authority', 'political', 'power', 'saudi', 'arabia'];social-humanaria
Pediatric Dentistry: A Clinical Approach;pediatric dentistry clinical approach;['pediatric', 'dentistry', 'clinical', 'approach'];sains-tech
The Design and Implementation of the FreeBSD Operating System;design implementation freebsd operating system;['design', 'implementation', 'freebsd', 'operating', 'system'];social-humanaria
The Art of Polymer Clay Millefiori Techniques: Projects and Inspiration for Creative Canework;art polymer clay millefiori technique project inspiration creative canework;['art', 'polymer', 'clay', 'millefiori', 'technique', 'project', 'inspiration', 'creative', 'canework'];social-humanaria
Bypassing Bypass. the New Technique of Chelation Therapy;bypassing bypass new technique chelation therapy;['bypassing', 'bypass', 'new', 'technique', 'chelation', 'therapy'];general
Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board;soul surfer true story faith family fighting get back board;['soul', 'surfer', 'true', 'story', 'faith', 'family', 'fighting', 'get', 'back', 'board'];general
Fashionable Selby;fashionable selby;['fashionable', 'selby'];general
Eat Like a Dinosaur: Recipe & Guidebook for Gluten-free Kids;eat like dinosaur recipe guidebook glutenfree kid;['eat', 'like', 'dinosaur', 'recipe', 'guidebook', 'glutenfree', 'kid'];general
Cesar Chavez: The Struggle for Justice / Cesar Chavez: La lucha por la justicia;cesar chavez struggle justice cesar chavez la lucha por la justicia;['cesar', 'chavez', 'struggle', 'justice', 'cesar', 'chavez', 'la', 'lucha', 'por', 'la', 'justicia'];general
Living Crazy Love: An Interactive Workbook for Individual or Small-Group Study;living crazy love interactive workbook individual smallgroup study;['living', 'crazy', 'love', 'interactive', 'workbook', 'individual', 'smallgroup', 'study'];general
The Fisherman: A Novel;fisherman novel;['fisherman', 'novel'];general
David Beckham;david beckham;['david', 'beckham'];general
BSAVA Manual of Feline Practice: A Foundation Manual;bsava manual feline practice foundation manual;['bsava', 'manual', 'feline', 'practice', 'foundation', 'manual'];sains-tech
The Fatal Conceit: The Errors of Socialism (The Collected Works of F. A. Hayek);fatal conceit error socialism collected work f hayek;['fatal', 'conceit', 'error', 'socialism', 'collected', 'work', 'f', 'hayek'];social-humanaria
Dateline Soweto: Travels with Black South African Reporters;dateline soweto travel black south african reporter;['dateline', 'soweto', 'travel', 'black', 'south', 'african', 'reporter'];general
Glencoe Health, Student Edition;glencoe health student edition;['glencoe', 'health', 'student', 'edition'];sains-tech
My Mother Was a Computer: Digital Subjects and Literary Texts;mother computer digital subject literary text;['mother', 'computer', 'digital', 'subject', 'literary', 'text'];sains-tech
The Acupressure Atlas;acupressure atlas;['acupressure', 'atlas'];general
If You're Not Cheating, You're Not Trying: Tips, Tricks, Techniques, and Cheats for Winning in MMA,   BJJ, Boxing and Wrestling (Brazilian Jiu Jitsu, ... Judo, Fighting, Combat Sports, Winning Guide);youre cheating youre trying tip trick technique cheat winning mma bjj boxing wrestling brazilian jiu jitsu judo fighting combat sport winning guide;['youre', 'cheating', 'youre', 'trying', 'tip', 'trick', 'technique', 'cheat', 'winning', 'mma', 'bjj', 'boxing', 'wrestling', 'brazilian', 'jiu', 'jitsu', 'judo', 'fighting', 'combat', 'sport', 'winning', 'guide'];general
Principles of Neurobiology;principle neurobiology;['principle', 'neurobiology'];sains-tech
Lean Healthcare Deployment and Sustainability;lean healthcare deployment sustainability;['lean', 'healthcare', 'deployment', 'sustainability'];sains-tech
Put Out More Flags;put flag;['put', 'flag'];general
Hitler's Daughter (Bccb Blue Ribbon Fiction Books (Awards));hitler daughter bccb blue ribbon fiction book award;['hitler', 'daughter', 'bccb', 'blue', 'ribbon', 'fiction', 'book', 'award'];social-humanaria
Evolution in Investment Treaty Law and Arbitration;evolution investment treaty law arbitration;['evolution', 'investment', 'treaty', 'law', 'arbitration'];social-humanaria
Hiring the Heavens: A Practical Guide to Developing Working Relationships with the Spirits of Creation;hiring heaven practical guide developing working relationship spirit creation;['hiring', 'heaven', 'practical', 'guide', 'developing', 'working', 'relationship', 'spirit', 'creation'];sains-tech
Spinning with a Drop Spindle;spinning drop spindle;['spinning', 'drop', 'spindle'];general
The Windows of Brimnes: An American in Iceland;window brimnes american iceland;['window', 'brimnes', 'american', 'iceland'];general
Uncle John's True Crime: A Classic Collection of Crooks, Cops, and Capers;uncle john true crime classic collection crook cop caper;['uncle', 'john', 'true', 'crime', 'classic', 'collection', 'crook', 'cop', 'caper'];general
The Ice Diaries: The True Story of One of Mankind's Greatest Adventures;ice diary true story one mankind greatest adventure;['ice', 'diary', 'true', 'story', 'one', 'mankind', 'greatest', 'adventure'];general
Norcal 2025;norcal;['norcal'];general
Outsourcing For Dummies;outsourcing dummy;['outsourcing', 'dummy'];sains-tech
This Water Goes North;water go north;['water', 'go', 'north'];general
Crossed (Matched);crossed matched;['crossed', 'matched'];general
Block Island Lighthouse 2014 Weekly Calender: 2014 weekly calendar with photo of the Block Island Lighthouse;block island lighthouse weekly calender weekly calendar photo block island lighthouse;['block', 'island', 'lighthouse', 'weekly', 'calender', 'weekly', 'calendar', 'photo', 'block', 'island', 'lighthouse'];general
American Indian Cooking and Herb Lore;american indian cooking herb lore;['american', 'indian', 'cooking', 'herb', 'lore'];general
Baptism: The Believer's First Obedience;baptism believer first obedience;['baptism', 'believer', 'first', 'obedience'];general
Plots, Transformations, and Regression: An Introduction to Graphical Methods of Diagnostic Regression Analysis (Oxford Statistical Science Series);plot transformation regression introduction graphical method diagnostic regression analysis oxford statistical science series;['plot', 'transformation', 'regression', 'introduction', 'graphical', 'method', 'diagnostic', 'regression', 'analysis', 'oxford', 'statistical', 'science', 'series'];sains-tech
Ukraine (English, French, Italian, German and Russian Edition);ukraine english french italian german russian edition;['ukraine', 'english', 'french', 'italian', 'german', 'russian', 'edition'];general
The Curious Sofa: A Pornographic Work by Ogdred Weary;curious sofa pornographic work ogdred weary;['curious', 'sofa', 'pornographic', 'work', 'ogdred', 'weary'];social-humanaria
Chinese Herbal Medicine: Formulas & Strategies (2nd Ed.);chinese herbal medicine formula strategy nd ed;['chinese', 'herbal', 'medicine', 'formula', 'strategy', 'nd', 'ed'];sains-tech
The Making of a Healer: Teachings of My Oneida Grandmother;making healer teaching oneida grandmother;['making', 'healer', 'teaching', 'oneida', 'grandmother'];general
The Skier's Book of Trail Maps: United States and Canada;skier book trail map united state canada;['skier', 'book', 'trail', 'map', 'united', 'state', 'canada'];general
Dental Anatomy: Reference Guide (Quickstudy: Academic) by BarCharts, Inc. (2004) Pamphlet;dental anatomy reference guide quickstudy academic barcharts inc pamphlet;['dental', 'anatomy', 'reference', 'guide', 'quickstudy', 'academic', 'barcharts', 'inc', 'pamphlet'];sains-tech
Cracking the GRE with 4 Practice Tests, 2016 Edition (Graduate School Test Preparation);cracking gre practice test edition graduate school test preparation;['cracking', 'gre', 'practice', 'test', 'edition', 'graduate', 'school', 'test', 'preparation'];general
Le Morte Darthur (Norton Critical Editions);le morte darthur norton critical edition;['le', 'morte', 'darthur', 'norton', 'critical', 'edition'];social-humanaria
Children's Book-a-Day Almanac;childrens bookaday almanac;['childrens', 'bookaday', 'almanac'];general
Big Alphabet Express;big alphabet express;['big', 'alphabet', 'express'];general
Data Mining For Dummies;data mining dummy;['data', 'mining', 'dummy'];sains-tech
Ancien Coutumier Inedit de Picardie (Sciences Sociales) (French Edition);ancien coutumier inedit de picardie science sociales french edition;['ancien', 'coutumier', 'inedit', 'de', 'picardie', 'science', 'sociales', 'french', 'edition'];social-humanaria
Asylum on the Hill: History of a Healing Landscape;asylum hill history healing landscape;['asylum', 'hill', 'history', 'healing', 'landscape'];social-humanaria
The New Self-Sufficient Gardener;new selfsufficient gardener;['new', 'selfsufficient', 'gardener'];general
Stirring: Theory and Practice;stirring theory practice;['stirring', 'theory', 'practice'];general
How To Watch Television;watch television;['watch', 'television'];general
The Sniper and the Wolf: A Sniper Elite Novel;sniper wolf sniper elite novel;['sniper', 'wolf', 'sniper', 'elite', 'novel'];general
An Illustrated Guide to the Holy Land for Tour Groups, Students, and Pilgrims;illustrated guide holy land tour group student pilgrim;['illustrated', 'guide', 'holy', 'land', 'tour', 'group', 'student', 'pilgrim'];general
Tribes: We Need You to Lead Us;tribe need lead u;['tribe', 'need', 'lead', 'u'];general
Heaven and Earth (Three Sisters Island Trilogy);heaven earth three sister island trilogy;['heaven', 'earth', 'three', 'sister', 'island', 'trilogy'];sains-tech
Judo (Martial and Fighting Arts);judo martial fighting art;['judo', 'martial', 'fighting', 'art'];social-humanaria
The Medical Advisor: The Complete Guide to Alternative & Conventional Treatments : Home Edition;medical advisor complete guide alternative conventional treatment home edition;['medical', 'advisor', 'complete', 'guide', 'alternative', 'conventional', 'treatment', 'home', 'edition'];sains-tech
Poopoo Make Prant Glow;poopoo make prant glow;['poopoo', 'make', 'prant', 'glow'];general
The Name of the Dead: Hieroglyphic Inscriptions of the Treasures of Tutankhamun Translated;name dead hieroglyphic inscription treasure tutankhamun translated;['name', 'dead', 'hieroglyphic', 'inscription', 'treasure', 'tutankhamun', 'translated'];social-humanaria
Eye Care in Developing Nations, Fourth Edition;eye care developing nation fourth edition;['eye', 'care', 'developing', 'nation', 'fourth', 'edition'];sains-tech
Taking the Leap: Freeing Ourselves from Old Habits and Fears;taking leap freeing old habit fear;['taking', 'leap', 'freeing', 'old', 'habit', 'fear'];general
The Logic of Scientific Discovery (Routledge Classics);logic scientific discovery routledge classic;['logic', 'scientific', 'discovery', 'routledge', 'classic'];general
Walking Prey: How America's Youth Are Vulnerable to Sex Slavery;walking prey america youth vulnerable sex slavery;['walking', 'prey', 'america', 'youth', 'vulnerable', 'sex', 'slavery'];general
Purr Prints of the Heart: A Cat's Tale of Life, Death, and Beyond;purr print heart cat tale life death beyond;['purr', 'print', 'heart', 'cat', 'tale', 'life', 'death', 'beyond'];social-humanaria
HECHOS Documentados Que La Sociedad Watchtower No Desea Que Usted CONOZCA: Documented Watchtower Facts (Spanish Edition);hechos documentados que la sociedad watchtower desea que usted conozca documented watchtower fact spanish edition;['hechos', 'documentados', 'que', 'la', 'sociedad', 'watchtower', 'desea', 'que', 'usted', 'conozca', 'documented', 'watchtower', 'fact', 'spanish', 'edition'];general
The Children's Book of Kwanzaa: A Guide to Celebrating the Holiday;childrens book kwanzaa guide celebrating holiday;['childrens', 'book', 'kwanzaa', 'guide', 'celebrating', 'holiday'];general
A Treasury of Deception: Liars, Misleaders, Hoodwinkers, and the Extraordinary True Stories of History's Greatest Hoaxes, Fakes and Frauds;treasury deception liar misleader hoodwinkers extraordinary true story history greatest hoax fake fraud;['treasury', 'deception', 'liar', 'misleader', 'hoodwinkers', 'extraordinary', 'true', 'story', 'history', 'greatest', 'hoax', 'fake', 'fraud'];social-humanaria
The Courts Of Idleness (B-Berry Pleydell);court idleness bberry pleydell;['court', 'idleness', 'bberry', 'pleydell'];general
Gardening for the Birds: How to Create a Bird-Friendly Backyard;gardening bird create birdfriendly backyard;['gardening', 'bird', 'create', 'birdfriendly', 'backyard'];general
NOOK Tablet: The Missing Manual (Missing Manuals);nook tablet missing manual missing manual;['nook', 'tablet', 'missing', 'manual', 'missing', 'manual'];general
The Book on PPMs: Regulation D Rule 505 Edition (New Renaissance Series on Corporate Strategies) (Volume 4);book ppms regulation rule edition new renaissance series corporate strategy volume;['book', 'ppms', 'regulation', 'rule', 'edition', 'new', 'renaissance', 'series', 'corporate', 'strategy', 'volume'];general
Cell Biology of Tooth Enamel Formation: Functional Electron Microscopic Monographs (Monographs in Oral Science, Vol. 14);cell biology tooth enamel formation functional electron microscopic monograph monograph oral science vol;['cell', 'biology', 'tooth', 'enamel', 'formation', 'functional', 'electron', 'microscopic', 'monograph', 'monograph', 'oral', 'science', 'vol'];sains-tech
Renal Diet Cookbook:: The Low Sodium, Low Potassium, Healthy Kidney Cookbook;renal diet cookbook low sodium low potassium healthy kidney cookbook;['renal', 'diet', 'cookbook', 'low', 'sodium', 'low', 'potassium', 'healthy', 'kidney', 'cookbook'];sains-tech
Travel book New Caledonia: Travel journal. Traveler's notebook. Carnet de voyage Nouvelle Calédonie. Diary Traveling;travel book new caledonia travel journal traveler notebook carnet de voyage nouvelle calédonie diary traveling;['travel', 'book', 'new', 'caledonia', 'travel', 'journal', 'traveler', 'notebook', 'carnet', 'de', 'voyage', 'nouvelle', 'calédonie', 'diary', 'traveling'];general
Syria's Democratic Years: Citizens, Experts, and Media in the 1950s (Public Cultures of the Middle East and North Africa);syria democratic year citizen expert medium public culture middle east north africa;['syria', 'democratic', 'year', 'citizen', 'expert', 'medium', 'public', 'culture', 'middle', 'east', 'north', 'africa'];social-humanaria
The Calcium Factor: The Scientific Secret of Health and Youth;calcium factor scientific secret health youth;['calcium', 'factor', 'scientific', 'secret', 'health', 'youth'];sains-tech
North Korea: On the Inside, Looking In;north korea inside looking;['north', 'korea', 'inside', 'looking'];general
Hooked Rug Landscapes (Framework);hooked rug landscape framework;['hooked', 'rug', 'landscape', 'framework'];sains-tech
Chemistry for Environmental and Earth Sciences;chemistry environmental earth science;['chemistry', 'environmental', 'earth', 'science'];sains-tech
Guide to the Bodhisattva's Way of Life: How to enjoy a life of great meaning and altruism;guide bodhisattva way life enjoy life great meaning altruism;['guide', 'bodhisattva', 'way', 'life', 'enjoy', 'life', 'great', 'meaning', 'altruism'];general
Corgiville Fair;corgiville fair;['corgiville', 'fair'];general
Hemophilia (Genes and Disease);hemophilia gene disease;['hemophilia', 'gene', 'disease'];sains-tech
"For Mothers of Difficult Daughters; How to Enrich and Repair the Relationship in Adulthood";mother difficult daughter enrich repair relationship adulthood;['mother', 'difficult', 'daughter', 'enrich', 'repair', 'relationship', 'adulthood'];social-humanaria
Challenging Global Inequality: Development Theory and Practice in the 21st Century;challenging global inequality development theory practice st century;['challenging', 'global', 'inequality', 'development', 'theory', 'practice', 'st', 'century'];sains-tech
Stone Offerings: Machu Picchu's Terraces of Enlightenment;stone offering machu picchus terrace enlightenment;['stone', 'offering', 'machu', 'picchus', 'terrace', 'enlightenment'];general
The Natural Prostate Cure, Second Edition: A Practical Guide to Using Diet and Supplements for a Healthy Prostate;natural prostate cure second edition practical guide using diet supplement healthy prostate;['natural', 'prostate', 'cure', 'second', 'edition', 'practical', 'guide', 'using', 'diet', 'supplement', 'healthy', 'prostate'];sains-tech
A Clash of Kings (A Song of Ice and Fire, Book 2);clash king song ice fire book;['clash', 'king', 'song', 'ice', 'fire', 'book'];general
Creating Music and Sound for Games;creating music sound game;['creating', 'music', 'sound', 'game'];general
American Map South Bend Elkhart, in Pocket Map;american map south bend elkhart pocket map;['american', 'map', 'south', 'bend', 'elkhart', 'pocket', 'map'];social-humanaria
Strong's Exhaustive Concordance of the Bible (Facets);strongs exhaustive concordance bible facet;['strongs', 'exhaustive', 'concordance', 'bible', 'facet'];general
Understanding Procedural Coding: A Worktext (with Cengage EncoderPro.com Demo Printed Access Card);understanding procedural coding worktext cengage encoderprocom demo printed access card;['understanding', 'procedural', 'coding', 'worktext', 'cengage', 'encoderprocom', 'demo', 'printed', 'access', 'card'];sains-tech
Der Kleine Prinz (German);der kleine prinz german;['der', 'kleine', 'prinz', 'german'];general
UAE Underwater;uae underwater;['uae', 'underwater'];general
Motion: Push and Pull, Fast and Slow (Amazing Science);motion push pull fast slow amazing science;['motion', 'push', 'pull', 'fast', 'slow', 'amazing', 'science'];general
The Superhero Reader;superhero reader;['superhero', 'reader'];general
My Tainted Blood;tainted blood;['tainted', 'blood'];general
Allergies and the Hyperactive Child;allergy hyperactive child;['allergy', 'hyperactive', 'child'];general
The Juice Habit Made Easy: with tips, tricks & healthy fruit & vegetable recipes (The Personal Detox Coach's Simple Guide To Healthy Living Series ) (Volume 1);juice habit made easy tip trick healthy fruit vegetable recipe personal detox coach simple guide healthy living series volume;['juice', 'habit', 'made', 'easy', 'tip', 'trick', 'healthy', 'fruit', 'vegetable', 'recipe', 'personal', 'detox', 'coach', 'simple', 'guide', 'healthy', 'living', 'series', 'volume'];sains-tech
Guatemala One;guatemala one;['guatemala', 'one'];general
Plone Content Management Essentials;plone content management essential;['plone', 'content', 'management', 'essential'];social-humanaria
Ring of Bright Water (Nonpareil Books);ring bright water nonpareil book;['ring', 'bright', 'water', 'nonpareil', 'book'];general
EMS Field Guide, BLS Version;em field guide bls version;['em', 'field', 'guide', 'bls', 'version'];sains-tech
The ABC & XYZ of Bee Culture: An Encyclopedia Pertaining to the Scientific and Practical Culture of Honey Bees;abc xyz bee culture encyclopedia pertaining scientific practical culture honey bee;['abc', 'xyz', 'bee', 'culture', 'encyclopedia', 'pertaining', 'scientific', 'practical', 'culture', 'honey', 'bee'];social-humanaria
