title,author,google_id,recommender,recommender_count,category,publication_date,pages,image,url_image,Unnamed: 4,target_class
5 Centimeters per Second,,1932234969,,5,Comics & Graphic Novels,,,1932234969.jpg,http://ecx.images-amazon.com/images/I/51IybjClfrL.jpg,,general
The Story of the New Orleans Hornets (The NBA: a History of Hoops),,1583419543,,27,Teen & Young Adult,,,1583419543.jpg,http://ecx.images-amazon.com/images/I/51AiMilDWpL.jpg,Tyler Omoth,social-humanaria
Love in Provence: Romantic Adventures in the South of France,,871272407,,22,Romance,,,0871272407.jpg,http://ecx.images-amazon.com/images/I/51t2uBEMp3L.jpg,Yvone Lenard,general
Polymeric Multicomponent Materials: An Introduction,,471041386,,23,Science & Math,,,0471041386.jpg,http://ecx.images-amazon.com/images/I/41aVeVvefKL.jpg,L. H. Sperling,general
Fantasy League,,147514940,,4,Children's Books,,,0147514940.jpg,http://ecx.images-amazon.com/images/I/51TI3FwVa%2BL.jpg,Mike Lupica,general
Be the Ultimate Assistant: A celebrity assistant's secrets to working with any high-powered employer,,976326817,,2,Business & Money,,,0976326817.jpg,http://ecx.images-amazon.com/images/I/31VJtBTmfvL.jpg,Bonnie Low-Kramen,general
Parables: The Greatest Stories Ever Told (Lifeguide Bible Studies),,830830375,,9,Christian Books & Bibles,,,0830830375.jpg,http://ecx.images-amazon.com/images/I/51pnw9xXOtL.jpg,John White,general
Bali Travels Maldives [Japanese Edition],,4041673410,,29,Travel,,,4041673410.jpg,http://ecx.images-amazon.com/images/I/51pqgSj8YoL.jpg,Giniro Natsuo,general
Microsoft Windows Security Essentials,,111801684X,,6,Computers & Technology,,,111801684X.jpg,http://ecx.images-amazon.com/images/I/518VXqYR27L.jpg,Darril Gibson,general
Shadowrun: Third Edition (FPR25000),,1932564462,,24,Science Fiction & Fantasy,,,1932564462.jpg,http://ecx.images-amazon.com/images/I/51TLjyIjU%2BL.jpg,FanPro,general
The Crime Wave: Collected Nonfiction (The Ace Performer Collection series),,982565062,,17,"Mystery, Thriller & Suspense",,,0982565062.jpg,http://ecx.images-amazon.com/images/I/51uJz4Jd-hL.jpg,Dashiell Hammett,general
The English Country House Garden,,711232997,,8,"Crafts, Hobbies & Home",,,0711232997.jpg,http://ecx.images-amazon.com/images/I/61c4EZtdtNL.jpg,Marcus Harpur,general
Diary of Anne Frank,,153003804,,12,History,,,0153003804.jpg,http://ecx.images-amazon.com/images/I/51JXp76wG1L.jpg,Frances Goodrich,general
ICD-10-CM 2015: The Complete Official Codebook,,1622020758,,16,Medical Books,,,1622020758.jpg,http://ecx.images-amazon.com/images/I/41uPslzVRgL.jpg,,general
The Words of Gandhi (Newmarket Words Of Series),,1557044686,,21,Religion & Spirituality,,,1557044686.jpg,http://ecx.images-amazon.com/images/I/410oYwwjssL.jpg,Mahatma Gandhi,social-humanaria
Shortcut,,688135765,,4,Children's Books,,,0688135765.jpg,http://ecx.images-amazon.com/images/I/61gCGr0YMzL.jpg,Donald Crews,general
Medical Mycology: Cellular and Molecular Techniques,,470019239,,11,"Health, Fitness & Dieting",,,0470019239.jpg,http://ecx.images-amazon.com/images/I/41LiDBXEC-L.jpg,,sains-tech
The First Third,,872860051,,29,Travel,,,0872860051.jpg,http://ecx.images-amazon.com/images/I/51ssxbQig9L.jpg,Neal Cassady,general
Reasons Mommy Drinks,,385349297,,13,Humor & Entertainment,,,0385349297.jpg,http://ecx.images-amazon.com/images/I/41hJGXQAq%2BL.jpg,Lyranda Martin-Evans,general
"Manual of High Risk Pregnancy and Delivery, 5e (Manual of High Risk Pregnancy & Delivery)",,323072534,,16,Medical Books,,,0323072534.jpg,http://ecx.images-amazon.com/images/I/41eD1Ln0KlL.jpg,Elizabeth S. Gilbert RNC  MS  FNPc,general
Oscillations and Waves: An Introduction,,1466566086,,23,Science & Math,,,1466566086.jpg,http://ecx.images-amazon.com/images/I/41XfKAnD%2BgL.jpg,Richard Fitzpatrick,general
DAMAGES,,1416594914,,14,Law,,,1416594914.jpg,http://ecx.images-amazon.com/images/I/51hCxlTZ5EL.jpg,Barry Werth,general
Sermons on Timothy and Titus (16th-17th Century Facsimile Edition),,851513743,,9,Christian Books & Bibles,,,0851513743.jpg,http://ecx.images-amazon.com/images/I/41oo7KfL5ML.jpg,John Calvin,general
Oils and Vinegars: Discovering and Enjoying Gourmet Oils and Vinegars,,1849752621,,7,"Cookbooks, Food & Wine",,,1849752621.jpg,http://ecx.images-amazon.com/images/I/51U6eq7vu4L.jpg,Liz Franklin,general
"The Handbook of Painted Decoration: The Tools, Materials, and Step-by-Step Techniques of Trompe L'Oeil Painting",,393730018,,0,Arts & Photography,,,0393730018.jpg,http://ecx.images-amazon.com/images/I/51BLmSCM6dL.jpg,Yannick Guegan,general
"Stage Plays from the Classics: One-Act Adaptations from Famous Short Stories, Novels, and Plays",,823802817,,27,Teen & Young Adult,,,0823802817.jpg,http://ecx.images-amazon.com/images/I/41ANPWYHPBL.jpg,Joellen Bland,social-humanaria
Runner's World Meals on the Run: 150 energy-packed recipes in 30 minutes or less,,162336583X,,7,"Cookbooks, Food & Wine",,,162336583X.jpg,http://ecx.images-amazon.com/images/I/61INLFujcpL.jpg,Joanna Sayago Golub,general
Mosaics Inside & Out: Patterns and Inspirations for 17 Mosaic Projects,,1564967425,,8,"Crafts, Hobbies & Home",,,1564967425.jpg,http://ecx.images-amazon.com/images/I/61zJetR%2BnFL.jpg,Doreen Mastandrea,general
"She Appears! Encounters with Kwan Yin, Goddess of Compassion",,983346666,,21,Religion & Spirituality,,,0983346666.jpg,http://ecx.images-amazon.com/images/I/61Yo1Mi1JOL.jpg,Sandy Boucher,general
A Companion to Museum Studies,,1444334050,,2,Business & Money,,,1444334050.jpg,http://ecx.images-amazon.com/images/I/41OSYKAWwFL.jpg,,general
United States History  Early Years (Level 5): Houghton Mifflin Social Studies,,618428852,,4,Children's Books,,,0618428852.jpg,http://ecx.images-amazon.com/images/I/51N4hEjfIyL.jpg,HOUGHTON MIFFLIN,social-humanaria
Indoor Marijuana Horticulture: The Indoor Bible,,1878823299,,23,Science & Math,,,1878823299.jpg,http://ecx.images-amazon.com/images/I/51EU06TQR0L.jpg,Jorge Cervantes,social-humanaria
"This Book Is Full of Spiders: Seriously, Dude, Don't Touch It (John Dies at the End)",,1250036658,,15,Literature & Fiction,,,1250036658.jpg,http://ecx.images-amazon.com/images/I/51-RntCdC-L.jpg,David Wong,general
The Secret to Long Life in Your DNA: The Beljanski Approach to Cellular Health,,1594772592,,11,"Health, Fitness & Dieting",,,1594772592.jpg,http://ecx.images-amazon.com/images/I/51HI3R5ucDL.jpg,Hervé Janecek Ph.D.,sains-tech
Rabbi Israel Salanter and the Mussar Movement: Seeking the Torah of Truth,,827604386,,1,Biographies & Memoirs,,,0827604386.jpg,http://ecx.images-amazon.com/images/I/41LS0LgettL.jpg,Immanuel Etkes,general
The Healthiest City: Milwaukee and the Politics of Health Reform,,299151646,,29,Travel,,,0299151646.jpg,http://ecx.images-amazon.com/images/I/51WTCse4XRL.jpg,Judith W. Leavitt,sains-tech
My Fair Gentleman (Proper Romance) (A Proper Romance),,162972095X,,22,Romance,,,162972095X.jpg,http://ecx.images-amazon.com/images/I/51T3GSdb4hL.jpg,Nancy Campbell Allen,general
Stand Up Paddling: Flatwater to Surf and Rivers (Mountaineering Outdoor Experts) (Moes),,1594852537,,26,Sports & Outdoors,,,1594852537.jpg,http://ecx.images-amazon.com/images/I/51fgYDde-zL.jpg,Rob Casey,general
Your Guide to Zion and Bryce Canyon (True North Series),,890515808,,9,Christian Books & Bibles,,,0890515808.jpg,http://ecx.images-amazon.com/images/I/51SCBOPtu0L.jpg,Mike Oard,general
"Unnatural Talent: Creating, Printing and Selling Your Comic in the Digital Age",,1493758292,,5,Comics & Graphic Novels,,,1493758292.jpg,http://ecx.images-amazon.com/images/I/51rpRrPuNwL.jpg,Jason Brubaker,general
Brainstorm: The Power and Purpose of the Teenage Brain,,399168834,,18,Parenting & Relationships,,,0399168834.jpg,http://ecx.images-amazon.com/images/I/41TQKcxPcIL.jpg,Daniel J. Siegel MD,general
E-Commerce Concepts,,1495944336,,6,Computers & Technology,,,1495944336.jpg,http://ecx.images-amazon.com/images/I/51b4r8w9r7L.jpg,Dr Randall J Dyck,social-humanaria
Well Enough Alone: A Cultural History of My Hypochondria,,1594483809,,13,Humor & Entertainment,,,1594483809.jpg,http://ecx.images-amazon.com/images/I/61lX5yjQf%2BL.jpg,Jennifer Traig,social-humanaria
Basic and Clinical Pharmacology 13 E,,71825053,,16,Medical Books,,,0071825053.jpg,http://ecx.images-amazon.com/images/I/61x8Dfxs9CL.jpg,Bertram Katzung,sains-tech
How to Have a Big Wedding on a Small Budget,,B003YCQCYE,,8,"Crafts, Hobbies & Home",,,B003YCQCYE.jpg,http://ecx.images-amazon.com/images/I/51F1112Q6ML.jpg,Diane Warner,general
Russian Grammar (Quickstudy: Academic),,1572226986,,20,Reference,,,1572226986.jpg,http://ecx.images-amazon.com/images/I/51bazlq7u6L.jpg,Inc. BarCharts,general
Responsible Travel Guide Cambodia,,975395114,,29,Travel,,,0975395114.jpg,http://ecx.images-amazon.com/images/I/51DMugmdAuL.jpg,Pujita Nanette Mayeda,general
Principles of Marketing (16th Edition) (Newest Edition),,133795020,,2,Business & Money,,,0133795020.jpg,http://ecx.images-amazon.com/images/I/51MyuNfkVGL.jpg,Philip T Kotler,social-humanaria
Halo: The Poster Collection,,1608874257,,0,Arts & Photography,,,1608874257.jpg,http://ecx.images-amazon.com/images/I/51O2-prLrML.jpg,,general
Mercy Watson: Something Wonky this Way Comes,,763652326,,4,Children's Books,,,0763652326.jpg,http://ecx.images-amazon.com/images/I/51gO81UQHXL.jpg,Kate DiCamillo,general
If You're Lucky,,161620463X,,27,Teen & Young Adult,,,161620463X.jpg,http://ecx.images-amazon.com/images/I/51moAp8QXyL.jpg,Yvonne Prinz,general
Great-Tasting Potatoes Cookbook,,1605537071,,7,"Cookbooks, Food & Wine",,,1605537071.jpg,http://ecx.images-amazon.com/images/I/51jnErh-u9L.jpg,Editors of Favorite Name Brand Recipes,general
The Kuwaiti Oil Fires (Environmental Disasters),,816057583,,12,History,,,0816057583.jpg,http://ecx.images-amazon.com/images/I/512NdDiYqZL.jpg,Kristine Hirschmann,general
Healing Without Medication: A Comprehensive Guide to the Complementary Techniques Anyone Can Use to Achieve Real Healing,,1591200172,,11,"Health, Fitness & Dieting",,,1591200172.jpg,http://ecx.images-amazon.com/images/I/51F3KTDSSRL.jpg,Robert S. Rister,general
Eternity's Sunrise: The Imaginative World of William Blake,,300200676,,15,Literature & Fiction,,,0300200676.jpg,http://ecx.images-amazon.com/images/I/51QRtiFZJtL.jpg,Leo Damrosch,general
Paraguay (Bradt Travel Guide),,1841625612,,29,Travel,,,1841625612.jpg,http://ecx.images-amazon.com/images/I/51VnUTL5nKL.jpg,Margaret Hebblethwaite,general
Treating Trauma and Traumatic Grief in Children and Adolescents,,1593853084,,16,Medical Books,,,1593853084.jpg,http://ecx.images-amazon.com/images/I/41I2zm6GAyL.jpg,Judith A. Cohen,general
A Terrible Revenge: The Ethnic Cleansing of the East European Germans,,1403973083,,14,Law,,,1403973083.jpg,http://ecx.images-amazon.com/images/I/419TDqP99jL.jpg,Alfred-Maurice de Zayas,general
Plastics: America's Packaging Dilemma (Island Press Critical Issues Series),,1559630620,,23,Science & Math,,,1559630620.jpg,http://ecx.images-amazon.com/images/I/51Y2pTdUbLL.jpg,Ellen Feldman,social-humanaria
Microbiologically Safe Foods,,047005333X,,11,"Health, Fitness & Dieting",,,047005333X.jpg,http://ecx.images-amazon.com/images/I/519W7i65J%2BL.jpg,Jose Santos Garcia,general
Life Reimagined: Discovering Your New Life Possibilities,,1609949323,,25,Self-Help,,,1609949323.jpg,http://ecx.images-amazon.com/images/I/41d0t0efHaL.jpg,Richard J. Leider,general
It's St. Patrick's Day (Turtleback School & Library Binding Edition) (Scholastic Reader: Level 1 (Pb)),,613721209,,4,Children's Books,,,0613721209.jpg,http://ecx.images-amazon.com/images/I/51lXAnDj5RL.jpg,Rebecca Gomez,general
Strands of Sorrow (Black Tide Rising),,1476736952,,24,Science Fiction & Fantasy,,,1476736952.jpg,http://ecx.images-amazon.com/images/I/61HmWM642cL.jpg,John Ringo,general
Analytic Philosophy,,075756383X,,19,Politics & Social Sciences,,,075756383X.jpg,http://ecx.images-amazon.com/images/I/51U5u9K%2BABL.jpg,John-Michael Kuczynski,social-humanaria
"The Modern Coral Reef Aquarium, Volume 2 (v. 2)",,3928819232,,8,"Crafts, Hobbies & Home",,,3928819232.jpg,http://ecx.images-amazon.com/images/I/714CGZPM6WL.gif,Svein A. Fossa,general
Promises Kept: The Life of an Issei Man,,883165635,,1,Biographies & Memoirs,,,0883165635.jpg,http://ecx.images-amazon.com/images/I/51HdaoFLOpL.jpg,Akemi Kikumura-Yano,general
Vocabulary for the College Bound Student,,1567651046,,27,Teen & Young Adult,,,1567651046.jpg,http://ecx.images-amazon.com/images/I/513K01ND32L.jpg,Harold Levine,general
Hunting the Rockies: Home of the Giants,,961482125,,29,Travel,,,0961482125.jpg,http://ecx.images-amazon.com/images/I/41MXQ3Z8AVL.jpg,Kirt I. Darner,general
The Slums of Aspen: Immigrants vs. the Environment in America's Eden (Nation of Nations),,1479834769,,2,Business & Money,,,1479834769.jpg,http://ecx.images-amazon.com/images/I/61tWZaKGBUL.jpg,Lisa  Sun-Hee Park,general
"Disaster Law and Policy, Second Edition (Aspen Elective)",,735588341,,23,Science & Math,,,0735588341.jpg,http://ecx.images-amazon.com/images/I/41-nm-fpWmL.jpg,Daniel A. Farber,social-humanaria
"Mobile & Social Game Design: Monetization Methods and Mechanics, Second Edition",,1466598689,,6,Computers & Technology,,,1466598689.jpg,http://ecx.images-amazon.com/images/I/51wRE04dZ9L.jpg,Tim Fields,social-humanaria
"Ready, Freddy! #22: Science Fair Flop",,545130484,,4,Children's Books,,,0545130484.jpg,http://ecx.images-amazon.com/images/I/51A2z8I-4DL.jpg,Abby Klein,general
HSPT Flashcard Study System: HSPT Exam Practice Questions & Review for the High School Placement Test (Cards),,1609718682,,28,Test Preparation,,,1609718682.jpg,http://ecx.images-amazon.com/images/I/51i%2Beq1ghKL.jpg,HSPT Exam Secrets Test Prep Team,general
"On the Backroad to Heaven: Old Order Hutterites, Mennonites, Amish, and Brethren (Center Books in Anabaptist Studies)",,801870895,,9,Christian Books & Bibles,,,0801870895.jpg,http://ecx.images-amazon.com/images/I/41oTzSlSYuL.jpg,Donald B. Kraybill,general
Spiritual Astrology: A Path to Divine Awakening,,1416599517,,21,Religion & Spirituality,,,1416599517.jpg,http://ecx.images-amazon.com/images/I/51PtnNC45mL.jpg,Jan Spiller,general
"Passing on Bypass Using External CounterPulsation : An FDA Cleared Alternative to Treat Heart Disease Without Surgery, Drugs or Angioplasty. SECOND EDITION",,096781281X,,16,Medical Books,,,096781281X.jpg,http://ecx.images-amazon.com/images/I/511TCMQWH0L.jpg,George J. Juetersonke,sains-tech
Walking the Walk (w/DVD): Getting Fit with Faith,,446581046,,11,"Health, Fitness & Dieting",,,0446581046.jpg,http://ecx.images-amazon.com/images/I/51KP8VqIdzL.jpg,Leslie Sansone,general
New Jersey Puzzle Book (Which Way USA?),,B000GLGO9O,,29,Travel,,,B000GLGO9O.jpg,http://ecx.images-amazon.com/images/I/61htcGwMUYL.jpg,Andrew Gutelle,general
The Best American Essays of the Century (The Best American Series),,618155872,,15,Literature & Fiction,,,0618155872.jpg,http://ecx.images-amazon.com/images/I/51rSqE9IomL.jpg,,general
God Made All of Me: A Book to Help Children Protect Their Bodies,,1942572301,,18,Parenting & Relationships,,,1942572301.jpg,http://ecx.images-amazon.com/images/I/414hFvfvh9L.jpg,Justin S. Holcomb,general
"Classic baseball cards: The golden years, 1886-1956",,044651392X,,8,"Crafts, Hobbies & Home",,,044651392X.jpg,http://ecx.images-amazon.com/images/I/51S%2B3WLbwyL.jpg,Frank Slocum,general
Garfield 2016 Day-to-Day Calendar,,1449465269,,3,Calendars,,,1449465269.jpg,http://ecx.images-amazon.com/images/I/51g4FFUldvL.jpg,Jim Davis,general
Beyond Courage: The Untold Story of Jewish Resistance During the Holocaust,,763669288,,4,Children's Books,,,0763669288.jpg,http://ecx.images-amazon.com/images/I/512jvo6DxIL.jpg,Doreen Rappaport,social-humanaria
The Scientist as Rebel (New York Review Books),,1590172949,,23,Science & Math,,,1590172949.jpg,http://ecx.images-amazon.com/images/I/51r8yBsTUVL.jpg,Freeman Dyson,general
The Life and Love of Dogs,,1419713930,,0,Arts & Photography,,,1419713930.jpg,http://ecx.images-amazon.com/images/I/51c2TA1x6NL.jpg,Lewis Blackwell,general
Fish Tales: Stories & Recipes from Sustainable Fisheries Around the World,,1906868174,,13,Humor & Entertainment,,,1906868174.jpg,http://ecx.images-amazon.com/images/I/51IPAyIE3yL.jpg,Tom Kime,general
Health: The Basics (11th Edition),,321910427,,11,"Health, Fitness & Dieting",,,0321910427.jpg,http://ecx.images-amazon.com/images/I/516Mn8i0SlL.jpg,Rebecca J. Donatelle,sains-tech
Unprocessed: How to achieve vibrant health and your ideal weight.,,1456576097,,7,"Cookbooks, Food & Wine",,,1456576097.jpg,http://ecx.images-amazon.com/images/I/417yWRlaelL.jpg,Chef AJ,sains-tech
U.S. Army Special Forces Guide to Unconventional Warfare: Devices and Techniques for Incendiaries,,1616080094,,12,History,,,1616080094.jpg,http://ecx.images-amazon.com/images/I/51s40bqSiWL.jpg,Army,social-humanaria
"Most Important Year in a Woman's Life, The/The Most Important Year in a Man's Life",,310240069,,9,Christian Books & Bibles,,,0310240069.jpg,http://ecx.images-amazon.com/images/I/41fDuKMDPyL.jpg,Robert Wolgemuth,general
Texas Birds: A Folding Pocket Guide to Familiar Species (Pocket Naturalist Guide Series),,1583551182,,29,Travel,,,1583551182.jpg,http://ecx.images-amazon.com/images/I/41Ks0uyRNaL.jpg,James Kavanagh,general
A-Z of Embroidery Stitches 2 (A-Z of Needlecraft),,1782211691,,8,"Crafts, Hobbies & Home",,,1782211691.jpg,http://ecx.images-amazon.com/images/I/61LklDw%2BcyL.jpg,,general
The Maverick of Copper Creek (Copper Creek Cowboys),,145557225X,,22,Romance,,,145557225X.jpg,http://ecx.images-amazon.com/images/I/51YsvDPxuuL.jpg,R.C. Ryan,general
Monster High: The Scary Cute Collection,,316249084,,27,Teen & Young Adult,,,0316249084.jpg,http://ecx.images-amazon.com/images/I/51gFmrZ0WsL.jpg,Lisi Harrison,general
The ADA Practical Guide to Soft Tissue Oral Disease,,111827797X,,16,Medical Books,,,111827797X.jpg,http://ecx.images-amazon.com/images/I/51jrQ7p9bHL.jpg,Michael A. Kahn,sains-tech
They Wished They Were Honest: The Knapp Commission and New York City Police Corruption,,231153546,,14,Law,,,0231153546.jpg,http://ecx.images-amazon.com/images/I/41ZD5vbOhFL.jpg,Michael F. Armstrong,social-humanaria
What Horses Reveal: From First Meeting to Friend for Life,,1570766606,,26,Sports & Outdoors,,,1570766606.jpg,http://ecx.images-amazon.com/images/I/51LBdueNQVL.jpg,Klaus  Ferdinand Hempfling,general
Vital Breath of the Dao: Chinese Shamanic Tiger Qigong,,938045687,,21,Religion & Spirituality,,,0938045687.jpg,http://ecx.images-amazon.com/images/I/41a6jrneZ5L.jpg,Zhongxian Wu,general
iPhone Application Development For Dummies,,1118091345,,6,Computers & Technology,,,1118091345.jpg,http://ecx.images-amazon.com/images/I/51BPjyAxiFL.jpg,Neal Goldstein,sains-tech
Ian Fleming Introduces Jamaica,,B000EE5KPW,,29,Travel,,,B000EE5KPW.jpg,http://ecx.images-amazon.com/images/I/31zoocO9QuL.jpg,,general
Art for London Transport 2015 Calendar,,764967665,,10,Engineering & Transportation,,,0764967665.jpg,http://ecx.images-amazon.com/images/I/51jdZBx6bPL.jpg,,social-humanaria
Seneca: Epistles 66-92 (Loeb No. 76),,674990854,,15,Literature & Fiction,,,0674990854.jpg,http://ecx.images-amazon.com/images/I/41cuXWA04fL.jpg,Seneca,general
Wild,,1909263087,,4,Children's Books,,,1909263087.jpg,http://ecx.images-amazon.com/images/I/619IbdUtRLL.jpg,,general
"Principles of Optics: Electromagnetic Theory of Propagation, Interference and Diffraction of Light",,521642221,,23,Science & Math,,,0521642221.jpg,http://ecx.images-amazon.com/images/I/41UjGlA4QpL.jpg,Max Born,general
No More Fatigue: Why You're So Tired and What You Can Do About It,,470525452,,11,"Health, Fitness & Dieting",,,0470525452.jpg,http://ecx.images-amazon.com/images/I/51Mx0Zj7YDL.jpg,Jack Challem,general
"A Social Security Owner's Manual, 3rd Edition: Your Guide to Social Security Retirement, Dependent's, and Survivor's Benefits",,1505396603,,2,Business & Money,,,1505396603.jpg,http://ecx.images-amazon.com/images/I/51gYRiiTRIL.jpg,Jim Blankenship,social-humanaria
The New Testament: A Historical Introduction to the Early Christian Writings,,019020382X,,20,Reference,,,019020382X.jpg,http://ecx.images-amazon.com/images/I/51sfa8q-0mL.jpg,Bart D. Ehrman,social-humanaria
Stephen Irwin,,300047997X,,0,Arts & Photography,,,300047997X.jpg,http://ecx.images-amazon.com/images/I/41Mqp%2BCRhJL.jpg,Vince Aletti,general
The Rewind Files,,986115746,,24,Science Fiction & Fantasy,,,0986115746.jpg,http://ecx.images-amazon.com/images/I/51P9WLKoZlL.jpg,Claire Willett,general
Mao: The Unknown Story,,679746323,,1,Biographies & Memoirs,,,0679746323.jpg,http://ecx.images-amazon.com/images/I/519FQVMBXNL.jpg,Jung Chang,general
"Swimming: Swimming Made Easy- Beginner and Expert Strategies For Becoming A Better Swimmer (Swimming, Swimmers Guide, Swim Strokes, Swimming Better)",,1511917946,,26,Sports & Outdoors,,,1511917946.jpg,http://ecx.images-amazon.com/images/I/51hFggrZpWL.jpg,Ace McCloud,general
British Diecast Model Toys Catalogue by John Ramsay (Editor) (1-Nov-2001) Hardcover,,B012HUE4F2,,8,"Crafts, Hobbies & Home",,,B012HUE4F2.jpg,http://ecx.images-amazon.com/images/I/51L5YeZMjlL.jpg,John Ramsay (Editor),general
Sherlock Holmes: The Major Stories with Contemporary Critical Essays (Bedford Series in History & Culture),,312089457,,17,"Mystery, Thriller & Suspense",,,0312089457.jpg,http://ecx.images-amazon.com/images/I/41ST0F0KHEL.jpg,Arthur Conan Doyle,social-humanaria
A is for Abinadi: An Alphabet Book of Scripture Heroes,,1462113699,,9,Christian Books & Bibles,,,1462113699.jpg,http://ecx.images-amazon.com/images/I/51jdaDPsQGL.jpg,Heidi Poelman,general
Zoonosi e sanità pubblica: Un approccio interdisciplinare per un problema emergente (Italian Edition),,8847005272,,16,Medical Books,,,8847005272.jpg,http://ecx.images-amazon.com/images/I/51ioF6W-0iL.jpg,,general
Potatoes (The Australian Women's Weekly Essentials),,1863963030,,7,"Cookbooks, Food & Wine",,,1863963030.jpg,http://ecx.images-amazon.com/images/I/51FHMBWB47L.jpg,,general
Bride in the Solomons,,B0007EDBRI,,29,Travel,,,B0007EDBRI.jpg,http://ecx.images-amazon.com/images/I/414F2pr0WYL.jpg,Osa Johnson,general
Consumerism (Opposing Viewpoints),,073774507X,,27,Teen & Young Adult,,,073774507X.jpg,http://ecx.images-amazon.com/images/I/31D1OY8znXL.jpg,Roman Espejo,general
Social Media Marketing All-in-One For Dummies,,1118215524,,6,Computers & Technology,,,1118215524.jpg,http://ecx.images-amazon.com/images/I/514zdYKrw3L.jpg,Jan Zimmerman,sains-tech
Fallacies of the Anti Hadith argument,,148270045X,,21,Religion & Spirituality,,,148270045X.jpg,http://ecx.images-amazon.com/images/I/41yJr7ylM7L.jpg,Mr Zubair Ali,general
Invitation to Dynamical Systems (Dover Books on Mathematics),,486485943,,23,Science & Math,,,0486485943.jpg,http://ecx.images-amazon.com/images/I/51Ph%2BhRkRJL.jpg,Prof. Edward R. Scheinerman,sains-tech
The 7-Day Flat-Belly Tea Cleanse: The Revolutionary New Plan to Melt Up to 10 Pounds of Fat in Just One Week!,,1940358035,,11,"Health, Fitness & Dieting",,,1940358035.jpg,http://ecx.images-amazon.com/images/I/51xZGUIv2mL.jpg,Kelly Choi,general
Moomin Book Five: The Complete Tove Jansson Comic Strip,,189729994X,,5,Comics & Graphic Novels,,,189729994X.jpg,http://ecx.images-amazon.com/images/I/51twr-9ltZL.jpg,Tove Jansson,general
The Kentucky Wildcats Fans' Bucket List,,1629371157,,29,Travel,,,1629371157.jpg,http://ecx.images-amazon.com/images/I/613ZgVHpDZL.jpg,Ryan Clark,general
Coaching the Complete Triple Gun Offense,,1585189251,,26,Sports & Outdoors,,,1585189251.jpg,http://ecx.images-amazon.com/images/I/51ZlinVOoVL.jpg,Tony Demeo,general
"Supply Chain Management: Strategy, Planning and Operations",,130264652,,2,Business & Money,,,0130264652.jpg,http://ecx.images-amazon.com/images/I/515JJGFGRJL.jpg,Sunil Chopra,social-humanaria
America : A Patriotic Primer,,689851928,,4,Children's Books,,,0689851928.jpg,http://ecx.images-amazon.com/images/I/515fhWsXMTL.jpg,Lynne Cheney,general
Black Earth: The Holocaust as History and Warning,,1101903457,,12,History,,,1101903457.jpg,http://ecx.images-amazon.com/images/I/61yehdo5pSL.jpg,Timothy Snyder,sains-tech
Agricola Cookbook,,1941868002,,7,"Cookbooks, Food & Wine",,,1941868002.jpg,http://ecx.images-amazon.com/images/I/61QqmtDBSVL.jpg,Josh Thomsen,general
"A Philosophical Retrospective: Facts, Values, and Jewish Identity (Columbia Themes in Philosophy)",,231153007,,19,Politics & Social Sciences,,,0231153007.jpg,http://ecx.images-amazon.com/images/I/41QG1XFvU%2BL.jpg,Alan Montefiore,social-humanaria
Kokology: The Game of Self-Discovery,,684871483,,13,Humor & Entertainment,,,0684871483.jpg,http://ecx.images-amazon.com/images/I/51JcyBoDSiL.jpg,Tadahiko Nagao,general
Growing Hawaii's Native Plants: A Simple Step-by-Step Approach for Every Species,,1566477166,,8,"Crafts, Hobbies & Home",,,1566477166.jpg,http://ecx.images-amazon.com/images/I/61gy9RISjNL.jpg,Kerin L. Lilleeng-Rosenberger,general
Law Enforcement In The United States,,763799386,,14,Law,,,0763799386.jpg,http://ecx.images-amazon.com/images/I/518jDgHO7DL.jpg,James A. Conser,social-humanaria
Kuan Yin Oracle Set,,987204181,,25,Self-Help,,,0987204181.jpg,http://ecx.images-amazon.com/images/I/51wLn0J3-bL.jpg,Alana Fairchild,general
Biological Models in Radiopharmaceutical Development (Developments in Nuclear Medicine),,792338367,,16,Medical Books,,,0792338367.jpg,http://ecx.images-amazon.com/images/I/31m5vpdap1L.jpg,R.M. Lambrecht,sains-tech
Indiana: Off the beaten path (Off the Beaten Path Indiana),,871066696,,29,Travel,,,0871066696.jpg,http://ecx.images-amazon.com/images/I/41qBS5hxjiL.jpg,Bill Thomas,general
For the Love of 2am: Poetry For Insomniacs,,1517486068,,15,Literature & Fiction,,,1517486068.jpg,http://ecx.images-amazon.com/images/I/41dESb94nVL.jpg,Zena A. White,general
In a World of Gods and Goddesses: The Mystic Art of Indra Sharma,,1608875431,,0,Arts & Photography,,,1608875431.jpg,http://ecx.images-amazon.com/images/I/61Nco%2BF3jsL.jpg,James H. Bae,social-humanaria
Introduction to Psychology,,1133956602,,11,"Health, Fitness & Dieting",,,1133956602.jpg,http://ecx.images-amazon.com/images/I/51ddN9xBrhL.jpg,James W. Kalat,sains-tech
CLEP Micro & Macro Economics Examinations Essential Study References 2013,,149048972X,,28,Test Preparation,,,149048972X.jpg,http://ecx.images-amazon.com/images/I/51aUxUejLKL.jpg,ExamREVIEW,social-humanaria
An Acre of Glass: A History and Forecast of the Telescope,,801882346,,23,Science & Math,,,0801882346.jpg,http://ecx.images-amazon.com/images/I/418RA0MCCCL.jpg,J. B. Zirker,social-humanaria
